QQ号码,官方网址,店铺名称,拿货地址,电话
QQ：1439932613,http://shop1038915.k3.cn,京姐妹鞋业,拿货地址： 温岭市 横峰   下洋林鞋业园10幢6号  ,15888669587
QQ：3157791352,http://shop1043029.k3.cn,星帅,拿货地址： 温岭市 城北街道   万昌村芳田29号  ,15257653135
QQ：478083325,http://zhengzhida.k3.cn,滨纷珍珠,拿货地址： 温岭市 横峰   下洋林鞋业园2幢3楼  ,15990623982
QQ：2324890882,http://shop1043098.k3.cn,青叶鞋业,拿货地址： 温岭市 横峰   前陈二区86号  ,13600580562 15214767026
QQ：2090295201,http://shop1042635.k3.cn,宏远制鞋,拿货地址： 温岭市 夹屿   横泾村A区38-1号  ,15057206551 15058639285
QQ：1395777153,http://shop1043124.k3.cn,海鑫,拿货地址： 温岭市 夹屿   欧风路135号  ,15226000318 18767626806
QQ：2550387208,http://shop1043050.k3.cn,台州伊特鞋业,拿货地址： 温岭市 夹屿    双峰村   南洋路15号  ,17159758333
QQ：2891170997,http://shop1043168.k3.cn,喜临门,拿货地址： 温岭市 夹屿   中兴路17号  ,17369850333
QQ：619330415,http://shop1043155.k3.cn,妗虹鞋厂,拿货地址： 温岭市 横峰   前陈一区锦绣路16-1号  ,13738695202
QQ：470295175,http://shop1043062.k3.cn,红制鞋,拿货地址： 温岭市 夹屿   中兴路38号  ,18267697972
QQ：553442555,http://shop1042892.k3.cn,杰西鞋业,拿货地址： 温岭市 夹屿   复兴路29号  ,13732316524
QQ：282530544,http://shop1043128.k3.cn,大浪淘沙,拿货地址： 温岭市 城北街道   万昌村芳田65号  ,18857653082 17671437834
QQ：460086460,http://2xinlongxieye.k3.cn,鑫隆鞋业,拿货地址： 温岭市 夹屿   欧风路2-3号  ,18367678811
QQ：136495046,http://shop1043106.k3.cn,裕诚,拿货地址： 温岭市 夹屿   欧风路150号  ,18967650118
QQ：1084517930,http://shop1041961.k3.cn,隆奇士鞋业,拿货地址： 温岭市 横峰    横石路   横石中路522号  ,13105650988
QQ：1413305097,http://shop1042920.k3.cn,聚富鞋业,拿货地址： 温岭市 横峰   前陈一区72号  ,15356559727 15325574986
QQ：164097601,http://shop1043136.k3.cn,霏雅乐,拿货地址： 温岭市 横峰   前陈新村B区10幢86号  ,13757719753 15858872052
QQ：232256140,http://shop1042906.k3.cn,加翎達女鞋,拿货地址： 温岭市 夹屿   金施村新区22号  ,18958995579 18072165979
QQ：675940502,http://shop1043044.k3.cn,韩娜朵女鞋,拿货地址： 温岭市 横峰   前陈一区锦绣路7号  ,15560032664 15839012839
QQ：865401290,http://shop1043055.k3.cn,锦浩鞋业,拿货地址： 温岭市 夹屿   金施村B区70号  ,13566664598
QQ：35854898,http://shop1042852.k3.cn,思荣鞋业,拿货地址： 温岭市 夹屿   欧风西路108号  ,18072537086
QQ：270545562,http://shop1032193.k3.cn,鼎盛源鞋业,拿货地址： 温岭市 城北街道   万昌村芳田77号  ,15960064238 13476780512
QQ：673888215,http://hongpingguo.k3.cn,红苹果鞋业,拿货地址： 温岭市 横峰   前陈三区9号  ,13777689169 13968487265
QQ：745791138,http://shop1043072.k3.cn,华胜鞋业,拿货地址： 温岭市 夹屿    双峰村   花园路36号  ,13736633641
QQ：2685018727,http://qimeng.k3.cn,初橙女鞋,拿货地址： 温岭市 夹屿    金施村   牧新路21号  ,13336786775
QQ：657333700,http://shop1042491.k3.cn,商洋鞋业,拿货地址： 温岭市 夹屿    双峰村   振兴路2-3号  ,13325865929 15355627313
